epoch,accuracy,auc,f1,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_f1,val_loss,val_precision,val_recall
0,0.5456204414367676,0.5062911510467529,"""[0.7373271]""",9.999999747378752e-05,0.6925364136695862,0.5734989643096924,0.8656250238418579,0.5869565010070801,0.3819580078125,"""[0.73972595]""",0.6895264983177185,0.5869565010070801,1.0
1,0.5802919864654541,0.48612940311431885,"""[0.7373271]""",9.999999747378752e-05,0.6885976195335388,0.5827205777168274,0.9906250238418579,0.5869565010070801,0.4160710573196411,"""[0.73972595]""",0.6842637658119202,0.5869565010070801,1.0
2,0.5857664346694946,0.5144325494766235,"""[0.7373271]""",9.999999747378752e-05,0.6878589987754822,0.5850091576576233,1.0,0.5869565010070801,0.4101148247718811,"""[0.73972595]""",0.6847014427185059,0.5869565010070801,1.0
3,0.5839415788650513,0.49105674028396606,"""[0.7373271]""",9.999999747378752e-05,0.6868554949760437,0.5839415788650513,1.0,0.5869565010070801,0.42332684993743896,"""[0.73972595]""",0.6887683868408203,0.5869565010070801,1.0
4,0.5839415788650513,0.5043379664421082,"""[0.7373271]""",9.999999747378752e-05,0.6839569807052612,0.5842490792274475,0.996874988079071,0.5869565010070801,0.4436863660812378,"""[0.73972595]""",0.6827273964881897,0.5869565010070801,1.0
5,0.5839415788650513,0.5213815569877625,"""[0.7373271]""",9.999999747378752e-05,0.6803493499755859,0.5845588445663452,0.9937499761581421,0.5869565010070801,0.4377301335334778,"""[0.73972595]""",0.6835979223251343,0.5869565010070801,1.0
6,0.5802919864654541,0.48449835181236267,"""[0.7373271]""",9.999999747378752e-05,0.6836404800415039,0.5827205777168274,0.9906250238418579,0.5869565010070801,0.4213775396347046,"""[0.73972595]""",0.7047339081764221,0.5869565010070801,1.0
7,0.5839415788650513,0.5369037985801697,"""[0.7373271]""",9.999999747378752e-05,0.6746363043785095,0.5842490792274475,0.996874988079071,0.5869565010070801,0.4202945828437805,"""[0.73972595]""",0.7625081539154053,0.5869565010070801,1.0
8,0.5875912308692932,0.5184758901596069,"""[0.7373271]""",9.999999747378752e-05,0.6760779023170471,0.5860806107521057,1.0,0.5869565010070801,0.4214858114719391,"""[0.73972595]""",0.9288395047187805,0.5869565010070801,1.0
